temperature_2m,relative_humidity_2m,pressure_msl,precipitation,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,hour,day_of_week,day_of_month,month,is_weekend,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,aqi_lag_48,aqi_lag_72,pm2_5_lag_1,pm2_5_lag_3,pm2_5_lag_6,pm2_5_lag_24,pm10_lag_1,pm10_lag_3,pm10_lag_6,pm10_lag_24,carbon_monoxide_lag_1,carbon_monoxide_lag_3,carbon_monoxide_lag_6,carbon_monoxide_lag_24,nitrogen_dioxide_lag_1,nitrogen_dioxide_lag_3,nitrogen_dioxide_lag_6,nitrogen_dioxide_lag_24,sulphur_dioxide_lag_1,sulphur_dioxide_lag_3,sulphur_dioxide_lag_6,sulphur_dioxide_lag_24,ozone_lag_1,ozone_lag_3,ozone_lag_6,ozone_lag_24,aqi_3h_mean,aqi_6h_mean,aqi_12h_mean,aqi_24h_mean,pm2_5_3h_mean,pm2_5_6h_mean,pm2_5_24h_mean,pm10_3h_mean,pm10_6h_mean,pm10_24h_mean,carbon_monoxide_24h_mean,nitrogen_dioxide_24h_mean,sulphur_dioxide_24h_mean,ozone_24h_mean,aqi_change_1h,aqi_change_3h,aqi_change_6h,aqi_change_24h,pm2_5_change_1h,pm2_5_change_24h,pm10_change_1h,pm10_change_24h
-0.07254924,0.013652083,-0.002152892,-0.0004815492,-0.009710937,-0.047177058,-0.06303956,0.024317237,0.0104400925,-0.11821096,-0.01691537,-0.8432583,-0.005023419,-0.012234245,0.0007456915,-0.005888434,5.24216e-06,3.5139925,0.017046016,0.0058988077,0.034952875,0.038331646,-0.0055221505,0.020202465,-0.03429117,0.0008797593,-0.114363186,0.0058646714,0.014731959,0.017355714,-0.009841225,0.029588655,-0.016404485,-0.009661224,0.009069875,-0.0143546825,-0.08067365,0.041437536,0.21694227,0.026981011,-0.023561988,-0.033366904,-0.014201003,0.011137828,-1.0619572,-1.8087406,0.20755723,-0.029366907,1.7351353,-0.01392023,0.00568715,-0.028210592,-0.043592818,-0.053392585,-11.271473,-0.0057980446,-0.0051754336,-0.08656466,0.00695096,-0.0036592316,-0.14278536,0.0071656443,-14.188084,-1.9072614,0.038854998,-0.004554276,0.013823522,0.42588407,0.005975537,0.08512136
-0.0056163506,-0.437859,0.0068642017,0.0011828775,0.005479435,-0.02548643,-0.30057466,-0.044694893,0.022544505,-0.16322824,0.020923693,0.07448034,0.0045573795,-0.0412547,0.21856223,0.031582594,7.112924e-05,40.212914,-0.037938092,-0.04652771,0.04402329,0.33257273,0.17296672,0.15129168,-0.069326855,-0.07674194,-0.005981061,0.049050305,-0.22116128,0.028201481,-0.016820043,-0.016994916,-0.0073276046,0.066406235,0.08204377,-0.09788104,0.023916837,-0.23895623,0.042208143,0.07905934,-0.036505114,0.015925037,0.066437386,0.043065596,1.9205693,24.363937,4.5680594,0.26277933,4.869391,0.20750897,0.0651634,-0.008695399,0.024749897,-0.015741961,2.9655678,-0.029863471,0.008584114,-0.05200328,-0.010447599,-0.0022673344,0.0559368,0.06715128,-1.123101,0.13281493,0.70532066,0.0030976292,-0.15922393,0.21087149,-0.031647403,0.118741825
0.14353302,0.06261207,0.0031644974,-0.0049691196,-0.06774971,-0.00025712664,0.030816875,-0.04291048,-0.043015875,0.06844254,0.01985632,-0.15842578,0.06524624,-0.028899293,0.0039271736,0.004252173,1.6897247e-05,-16.087568,-0.10160324,0.029400418,0.017440727,-0.053506937,-0.10426955,-0.019404821,0.007886643,0.0067969942,-0.00094293075,0.009469272,-0.016408945,0.0066348864,0.002822521,-0.04261978,0.11886837,-0.1074501,0.034194566,0.14275526,0.13850072,0.20737964,0.32991406,0.14902933,0.010840402,0.06142634,-0.046940316,0.013440851,0.123435594,1.1781937,0.8724603,0.108151,-2.3736475,-0.047896508,0.020768898,0.028085679,-0.0123167755,0.0019893094,-2.6689284,0.0152623635,0.0018603682,-0.0007586003,-0.003179806,-0.007018793,-0.022622488,-0.018029345,-0.7990843,0.112638876,0.05084034,-0.03576935,0.038920138,-0.25741,0.014550629,-0.12551983
0.0036548804,-0.0031168875,-0.002630315,-5.9003916e-05,0.004973136,-0.009354461,-0.0036849193,0.002427355,-0.00599874,0.0056399815,-0.0014529349,-0.32395172,-0.002562207,-0.0015412199,0.0018910225,0.002366658,8.668574e-05,-18.20303,-0.100510746,-0.0035876909,0.0122329015,-0.10555318,-0.015610607,-0.0053614425,0.013732761,-0.0045846035,0.01549844,0.013051366,-0.0027392332,-0.008397822,-0.00029371044,0.004602195,-0.0013778516,-0.0031838466,-0.016042912,-0.007738099,-0.023636552,0.004279903,-0.08745952,0.0030695605,0.025188884,0.03451797,-0.0030520018,0.0023074392,-0.28998616,-1.1236489,-0.48129356,-0.0334387,-2.531459,-0.0022563885,-0.015039405,-0.052286536,-0.00080383423,-0.016882814,-7.413534,0.0021197544,-0.0037660184,0.0064881463,-0.001090073,0.010844767,-0.032878987,-0.006125532,-0.33694336,-0.044923287,-0.07332454,0.0070010033,0.010005435,-0.050910484,0.011009517,0.03670468
0.011096459,-0.044589393,-0.009520969,0.00023748333,-0.0072213556,-0.013676127,-0.01333829,0.0037836046,-0.006641872,-0.057143766,-0.01527627,-0.57451826,-0.0025380645,0.00056624523,0.013113751,-0.004009493,0.00024751274,-2.9545794,-0.041398462,-0.048015133,-0.040232614,-0.013191319,-0.014068528,0.0015150029,-0.038105402,-0.010114653,-0.046829354,-0.010929552,0.0053679836,-0.018506436,0.007313959,0.032967914,-0.012656124,0.018387934,0.0027573928,-0.012834026,-0.042999614,0.03956416,0.065017395,-0.010329759,-0.030771261,-0.025781767,-0.0021628425,0.009391821,-0.81165266,-2.1100228,0.18743701,-0.03641243,1.8128903,-0.062272247,-0.026565675,-0.010119265,-0.022421205,-0.044741478,-15.987192,-0.0062948284,-0.030227823,0.0024018807,-0.037692036,-0.015409503,-0.14330626,-0.030891716,-11.070743,-1.1762712,0.013293772,-0.0014496378,-0.0009889817,0.4165574,-0.0034899781,0.08629204
-0.0026199592,0.01446586,0.076191835,-3.6615187e-05,-0.032040507,-0.17616123,0.021087095,-0.002226146,-0.016438881,-0.15772371,-0.0063022184,-0.63149875,-0.033752613,0.021140905,0.047463585,0.0020461085,0.0035138428,23.626112,0.012408917,-0.032645147,0.03465785,0.019007744,0.033723567,0.02772563,0.03632953,0.027887331,-0.011022762,0.033521935,-0.022584418,-0.005730231,-0.05135349,0.02633589,-0.18040308,-0.083835475,-0.01740473,-0.04598975,-0.023434132,-0.19202654,0.19900754,0.029116284,-0.019054059,-0.014891714,-0.0082291,0.0028385012,-0.5855028,5.6866555,0.6199993,-0.1265421,2.0095713,-0.09572987,0.16352387,0.048613306,-0.022159394,0.054195654,-0.9376167,-0.016594257,0.047806963,-0.021253392,-0.021989128,-0.0040008216,-0.0027457634,-0.004803478,-3.598966,0.30707183,-0.15010558,0.06825621,-0.006005365,-0.10699562,0.030001625,-0.059280895
-0.03961328,-0.06628325,-0.02034423,-0.00061098405,-0.0027259148,-0.065615974,-0.07122156,-0.06540186,0.0049093394,-0.32257771,-0.010441357,-0.85594505,-0.054852683,0.0018134275,0.004539839,0.009373348,0.00044568354,-2.4666214,-0.25065538,0.0015136224,-0.054542888,0.02334171,-0.02535976,0.011637193,0.00433665,0.027450554,-6.8205874e-05,0.013175863,0.019432636,0.00034240683,-0.013539087,-0.026849343,-0.01028832,-0.15513067,-0.01805007,-0.0067719175,-0.16161552,-0.44704133,0.11738662,-0.35931754,-0.0023871225,0.03067242,0.0031889053,-0.0002470361,0.22940345,0.3308527,0.51685596,-0.14094564,-1.4651817,-0.029250663,-0.040430818,-0.16306548,0.00027691014,0.0023255171,-9.290897,-0.028710635,-0.007078295,0.007690484,0.0161413,0.01028359,-0.10005753,-0.039578393,-0.257299,0.61735,0.6387952,0.06637752,-0.08685844,-0.08390554,-0.020122128,0.025295686
0.008062045,-0.0070371833,-0.00072751596,-0.00049922144,-0.009580279,0.003066327,-0.0066506835,0.0010700509,0.0057342397,0.012242665,-0.0019206697,-0.28817746,-0.0021953378,-0.0023683163,0.0025780322,4.146788e-05,5.7562727e-05,-18.72546,-0.10409007,-0.0055464087,0.006616484,-0.03635593,-0.02147665,-0.00013424602,0.00047028408,0.0016856403,-0.022821229,0.015976198,0.008348097,-0.0021757046,-0.0031427532,0.004622473,-0.0045645544,-0.05443576,0.00090929697,-0.00837154,-0.045013204,-0.012386711,-0.07784847,0.0103632575,-0.0030784393,-0.004459078,-0.0028036148,0.002074141,-0.29943675,-1.1556332,-0.4511721,-0.03190837,-2.547012,-0.006970388,-0.023127163,-0.0009813163,-0.0029442855,-0.013931895,-7.920996,0.00047036426,-0.0013414926,0.009613657,-4.611678e-05,0.006647438,-0.03467488,0.002451667,-0.010129422,-0.03817603,-0.073347114,-0.015261262,0.013351859,0.453906,0.015294397,0.15402415
0.0042480263,-0.018768001,-0.0054736882,-0.00087538117,-0.00082353887,-0.0012782085,0.02635922,0.00246687,0.006509082,-0.022580044,-0.010560022,-0.24218538,-0.004662246,0.00029935184,-0.0005305602,-0.0010531202,9.344503e-05,28.004467,0.014027241,0.004811015,-0.0045302296,-0.03744697,-0.00889291,-0.0020907957,0.00850392,0.0017014749,0.021429203,-0.025225703,-0.010750644,-0.002572238,-0.0032811917,-0.0027002112,-0.0023625682,0.015272271,-0.0014058163,-0.019959794,-0.020354027,0.00560255,-0.06133551,-0.050991338,-0.0047544865,-0.002257243,0.0050698863,-0.0075263656,-0.26620507,-0.874421,-0.36084887,-0.031352986,4.2533298,0.10315709,0.013625423,0.046675064,0.003706004,-0.003816345,13.701441,-0.0034212018,0.0030212791,0.051047817,-0.009587047,0.000650547,-0.021577151,0.00073537644,0.917799,0.038270663,-0.06961775,0.0812368,0.01736229,-0.20750311,0.008860782,-0.10671281
0.010461836,-0.001756734,0.009859362,-0.0005838224,0.0071872347,-0.016905278,0.04137146,0.0028945701,-0.006662101,-0.051368702,-0.000272261,-0.35272148,-0.0006504099,-0.0017738731,-0.015302506,0.007305054,-0.00010531383,25.797367,0.0059784446,0.0041577783,0.0013983386,-0.010375056,0.02025667,-0.002165763,-0.0021773593,0.0010885115,0.014738905,-0.019314066,-0.01192816,0.00801017,-0.00015928669,-0.0009361513,0.0072762193,-0.0031825337,0.005895386,-0.013333428,-0.038549937,0.008886819,0.033003118,-0.06457224,-0.0010190037,-0.0020051105,-0.003302404,-0.008763212,-0.3899886,-1.0184125,0.14397186,-0.03448856,3.3207448,0.1298525,0.0027200172,0.08313862,0.0025417474,0.00046355248,12.243512,0.0016232777,-0.0035884227,0.022921117,-0.00013616128,0.0012600182,-0.0230156,0.0024461627,0.3742725,0.07695952,-0.04343216,0.0952468,0.015027077,-0.4140488,0.012997898,-0.13058417
